PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year,is_useful
31759609,"Infant formulations are constantly evolving as novel protein ingredients are added to make them more closely mimic the protein profile of human milk; however, precise analytical methods for characterizing and quantifying the major milk proteins in such formulations are currently lacking. This article describes an ultra-performance liquid chromatography-high-resolution mass spectrometry method for intact proteins that can efficiently detect, identify, and characterize the major milk proteins and their proteoforms (phosphorylation status, degree of glycation, genetic variants among others) in ingredients and final products, with an emphasis on detecting and quantifying specific genetic variants of β-casein in infant formulas. Method sensitivity allows detection of β-casein A1 in A2-based infant formulas with a limit of detection of 2% (grams of β-casein A1 per 100 g of total β-casein). Protein glycation affects signal intensity in a linear fashion, which permits proteins to be quantified from their mass spectrometry signals after correction according to their measured glycation index. The method was validated for the quantification of β-casein in infant formulas. Repeatability ranged from 2 to 3% and intermediate reproducibility from 5 to 9%. Calculated β-casein amounts ranged between 77 and 110% of the values based on formulations and published protein profiles for milk. Altogether, this method can be used for general fingerprinting as well as specific characterization and quantification of individual major milk proteins in dairy-based ingredients and products.",Journal of dairy science,[],[],Protein fingerprinting and quantification of β-casein variants by ultra-performance liquid chromatography-high-resolution mass spectrometry.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/31759609,2019,0
31689314,"Exposure to high levels of manganese (Mn) in children has recently been associated with adverse neurodevelopmental effects. Current infant formula regulations for Mn content were set between 1981 (United States), 2006 (European Union, France), and 2007 (Codex Alimentarius) prior to the publication of much of the growing body of research on the developmental neurotoxicity of Mn. In this study, we sought to measure the concentrations of Mn in some infant formulas and young child nutritional beverages available on the United States (US) and French markets using ion beam analysis by particle induced X-ray emission (PIXE) spectrometry and then compare the analytical results to concentrations reported in the literature for breast milk and applicable infant formula regulations and guidelines. We were particularly interested in measuring Mn concentrations in product types for which there is very little data from previous surveys, especially soy-based, rice-based, goat-milk based, chocolate-flavored, and nutritional beverages for young children that are not regulated as infant or follow-on formulas (e.g. ""toddler formulas"" and ""toddler powders""). We purchased 44 infant formulas and young child nutritional beverage products in the US and France with varying protein sources (cow-milk, goat-milk, soy, rice) labelled for birth to 3 years. We selected these samples using maximum variation sampling to explore market extremes to facilitate comparisons to regulatory limits. Since this sampling method is non-probabilistic, other inferences cannot be made beyond this set of samples to the overall markets. We used ion beam analysis to measure the concentrations of Mn in each product. The range of measured Mn concentrations in the products is 160-2,800 μg/L, substantially higher than the 3-6 μg/L mean Mn concentration reported in human breast milk. All products satisfied national and Codex Alimentarius Commission (CAC) international standards for minimum Mn content in infant formulas; however, 7/25 of the products purchased in the US exceeded the CAC Guidance Upper Level of 100 μg Mn/kcal for infant formula.",PloS one,[],[],Manganese levels in infant formula and young child nutritional beverages in the United States and France: Comparison to breast milk and regulations.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/31689314,2019,0
31677836,"The aim of this study was to characterize minor lipids in methanol fraction extracted from raw camel milk after loading it on a water-preconditioned short C18 open column and fractionating with a gradient of methanol/water. The C18 column showed high fractionation efficiency of minor lipids, such as glycosphingolipids, lipopolysaccharides, or oligosaccharides, when compared with other constituents, in particular polysaccharides, proteins, and free fatty acids. Liquid chromatography electrospray ionization tandem mass spectrometry in negative ion mode was used to identify 21 new glycosphingolipids, lipopolysaccharides, and oligosaccharides. Electrospray ionization tandem mass spectrometry was qualified to provide relevant data for recognizing the molecular mass, glycosylation sequences, and structure of saccharide moieties for the revealed compounds. The sequence of combinations of one selected lipopolysaccharide, which was considered the backbone of the remaining lipopolysaccharides, was confirmed in a density functional theory study. The obtained results showed that the tested fraction is a rich source of glycosphingolipids, lipopolysaccharides, and oligosaccharides with antioxidant activity.",Journal of dairy science,[],[],Electrospray ionization mass spectrometry characterization of ubiquitous minor lipids and oligosaccharides in camel milk (Camelus dromedarius) and their inhibition of oxidative stress in human plasma.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/31677836,2019,0
31654257,"The objectives of this study were to assess levels of contamination of breast milk (BM) by cadmium (Cd) among lactating mothers from Rabat, Morocco, and to investigate its association with several maternal habits, parameters, and factors. In addition, to estimate the daily intake of the newborns. Cd concentrations were measured by inductively coupled plasma-mass spectrometry (ICP-MS) in 70 human milk samples collected between the 2nd and 5th day postpartum. Accuracy of the analysis was checked by various methods including the use of reference material. A structured questionnaire was filled during the collection of milk reporting data concerning anthropometric, sociodemographic parameters, dietary and cosmetic habits, etc. The median (range) of Cd in human milk was 0.49 μg/L (range 0.013-95.19 μg/L) respectively. In 21 (30%) of 70 samples, Cd levels were higher than the normal reported by the World Health Organization (WHO) in BM (< 1 μg/L). Indeed, several factors affect significantly Cd levels in BM of the mothers such as low maternal education level, preterm delivery, cesarean delivery, and area of residence. Also, the frequency of consumption of milk and dairy products as well dried fruits and wheat bread and the frequency of use of cosmetic powders. However, the daily intake of cadmium by the newborns was lower than tolerable daily intake of the WHO for 97% of them. Our results revealed low cadmium concentrations in human milk samples from Moroccan lactating mothers living in Rabat, also the association of some factors with the levels of contamination found in this population.",Biological trace element research,[],[],Cadmium Contamination in Breast Milk of Moroccan Lactating Women and the Associated Factors: CONTAMILK Study.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/31654257,2019,0
31629509,"The high nutritional value of sheep milk can be advantageous in the manufacture of cheese, and fat plays an important role in sheep cheese properties. The aim of this study was to investigate the effect of feeding common hay or silage diets used in commercial farms on the nutritional value of sheep cheese fat. We also monitored the effect of cheese ripening period on the fatty acid profile. Cheeses were produced from milk of sheep fed hay and silage diets from 8 farms, on 4 separate occasions (February, May, August, and November) over a 1-yr period. Eighty-four individual fatty acids were determined and identified by gas chromatography. Ripening time (100 and 180 d) significantly reduced moisture, acidity, and water activity of cheeses but did not affect the fatty acid content. However, hay feeding, compared with silage feeding, led to cheeses with 1.5- and 1.3-fold higher contents of vaccenic acid and conjugated linoleic acid, without detrimental changes in saturated and n-3 (omega-3) fatty acid composition. Hay forages could be a low-cost alternative for producing cheese with a fatty acid profile suitable for human health, which is an aspect of great interest to the food industry.",Journal of dairy science,[],[],Effect of forage type in the ovine diet on the nutritional profile of sheep milk cheese fat.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/31629509,2019,0
31525238,"Bovine milk extracellular vesicles (EVs) attract research interest as carriers of biologically active cargo including miRNA from donor to recipient cells to facilitate intercellular communication. Since toxicity of edible milk seems to be negligible, milk EVs are applicable to use for therapeutics in human medicine. Casein separation is an important step in obtaining pure EVs from milk, and recent studies reported that adding hydrochloric acid (HCl) and acetic acid (AA) to milk accelerates casein aggregation and precipitation to facilitate EV isolation and purification; however, the effects of acidification on EVs remain unclear. In this study, we evaluated the acidification effects on milk-derived EVs with that by standard ultracentrifugation (UC). We separated casein from milk by either UC method or treatment with HCl or AA, followed by evaluation of EVs in milk serum (whey) by transmission electron microcopy (TEM), spectrophotometry, and tunable resistive pulse sensing analysis to determine EVs morphology, protein concentration, and EVs size and concentration, respectively. Moreover, we used anti-CD9, -CD63, -CD81, -MFG-E8, -HSP70, and -Alix antibodies for the detection of EVs surface and internal marker proteins by western blot (WB). Morphological features of EVs were spherical shape and similar structure was observed in isolated EVs by TEM. However, some of the EVs isolated by HCl and AA had shown rough surface. Although protein concentration was higher in whey obtained by UC, EV concentration was significantly higher in whey following acid treatment. Moreover, although all of the targeted EVs-marker-proteins were detected by WB, HCl- or AA-treatments partially degraded CD9 and CD81. These findings indicated that acid treatment successfully separated casein from milk to allow efficient EV isolation and purification but resulted in partial degradation of EV-surface proteins. Our results suggest that following acid treatment, appropriate EV-surface-marker antibodies should be used for accurate assess the obtained EVs for downstream applications. This study describes the acidification effects on EVs isolated from bovine milk for the first time.",PloS one,[],[],Acidification effects on isolation of extracellular vesicles from bovine milk.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/31525238,2019,0
31521344,"Over the past decades, several studies investigated the health-promoting functions of milk peptides. However, to date many hurdles still exist regarding the widespread use of milk-derived bioactive peptides, as they may be degraded during gastrointestinal digestion. Thus, the aim of our study was to in vitro digest intact whey protein isolate (WPI) and casein proteins (CNP), mimicking in vivo digestion, to investigate their bioactive effects and to identify the potential peptides involved. Whey protein isolate and CNP were digested using a pepsin-pancreatin protocol and ultra-filtered (3-kDa cutoff membrane). A permeate (<3 kDa) and a retentate (>3 kDa) were obtained. Soy protein was included as a control (CTR). Angiotensin-1-converting enzyme inhibitory (ACE1-I) and antioxidant activity (AOX) were assessed and compared with those observed in undigested proteins and CTR. Furthermore, the permeate was characterized by nano-liquid chromatography electrospray ionization tandem mass spectrometry (LC-nano ESI MS/MS) using a shotgun peptidomic approach, and retentate was further digested with trypsin and analyzed by MS using a shotgun proteomic approach to identify potentially bioactive peptides. Further, the effects of WPI, CNP, and CTR retentate on cell metabolic activity and on mucus production (MUC5AC and MUC2 gene expression) were assessed in intestinal goblet HT29-MTX-E12 cells. Results showed that WPI permeate induced a significant ACE1-I inhibitory effect [49.2 ± 0.64% (SEM)] compared with undigested WPI, CNP permeate, and retentate or CTR permeate (10.40 ± 1.07%). A significant increase in AOX (1.58 ± 0.04 and 1.61 ± 0.02 µmol of trolox AOX equivalents per mg of protein, respectively) upon digestion was found in WPI. Potentially bioactive peptides associated with ACE1-I and antihypertensive effects were identified in WPI permeate and CNP retentate. At specific concentrations, WPI, CNP, and CTR retentate were able to stimulate metabolic activity in HT29-MTX-E12 cells. Expression of MUC5AC was increased by CNP retentate and unaltered by WPI retentate; MUC2 expression was significantly increased by 0.33 mg/g of CNP and reduced by 1.33 mg/g of CNP. Our results confirm that milk proteins may be rich sources of bioactive compounds, with the greatest beneficial potential of CNP at the intestinal goblet cell level.",Journal of dairy science,[],[],"In vitro-digested milk proteins: Evaluation of angiotensin-1-converting enzyme inhibitory and antioxidant activities, peptidomic profile, and mucin gene expression in HT29-MTX cells.",[],[],https://www.ncbi.nlm.nih.gov/pubmed/31521344,2019,0
31492911,"Accurate postmortem estimation of breastfeeding status for archaeological or forensic neonatal remains is difficult. Confident identification of milk-specific proteins associated with these remains would provide direct evidence of breast milk consumption. We used liquid chromatography coupled to tandem mass spectrometry (MS) to confidently identify beta-lactoglobulin-1 (LGB1) and whey acidic protein (WAP), major whey proteins associated with a neonatal dog (Canis lupus familiaris) skeleton (430-960 cal AD), from an archaeological site in Hokkaido, Japan. The age at death of the individual was estimated to be approximately two weeks after birth. Protein residues extracted from rib and vertebra fragments were analyzed and identified by matching tandem MS spectra against the dog reference proteome. A total of 200 dog protein groups were detected and at least one peptide from canine LGB1 and two peptides from canine WAP were confidently identified. These milk proteins most probably originated from the mother's breast milk, ingested by the neonate just before it died. We suggest the milk diffused outside the digestive apparatus during decomposition, and, by being absorbed into the bones, it partially preserved. The result of this study suggests that proteomic analysis can be used for postmortem reconstruction of the breastfeeding status at the time of death of neonatal mammalian, by analyzing their skeletal archaeological remains. This method is also applicable to forensic and wildlife studies.",Scientific reports,[],[],Palaeoproteomic identification of breast milk protein residues from the archaeological skeletal remains of a neonatal dog.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/31492911,2019,0
31443970,"Absolute quantification of B-vitamins in milk is becoming imperative to correlate its impact on child/human health. In today's world of changing food habits and environmental pollution, there is concern if milk is what we think it to be. In the present work, ultra-high performance liquid chromatography mass spectrometry/selected reaction monitoring (UPHPLC-MS/SRM) methods have been developed and validated for quantitative estimation of 21 different B-vitamins [B1-3, B2-3, B3-2, B5-1, B6-5, B8-1, B9-2 vitamins, total choline (betaine, choline and acetylcholine)] from a drop (50 µL) and B12 from 500 µL of milk. These two methods qualify all essential bio-analytical parameters (recovery >80%, accuracy <±15%, variation <±10%) and are highly reproducible. By using these developed methods, B-vitamins in different fresh milk samples from cow, goat, buffalo and pasteurized cow milk (each 10 and total n = 40) were analysed. Total choline is the highest (6.5-10.5 µg/mL) and vitamin B8 is the lowest (16.1-32.9 ng/mL) in all milk samples. Inverse correlation between vitamin B2 and B5 was observed in milk samples. The ratio of vitamin B5/B2 was checked in all milk samples, it is higher in cow (2.64), equal in goat (1.04) and lower in buffalo (0.42) milk. Total B-vitamin content in cow milk is higher (10.5 µg/mL) compared to other three (goat-7.2, buffalo-6.5, pasteurized-8.8 µg/mL). Vitamin B12 is higher in cow milk (3.6 ng/mL) compared to other two fresh milk samples. Different isomers for vitamin B6 were noticed in the fresh milk samples. The complete profile of water soluble vitamins and the ratio of two abundant B vitamins (B5/B2) in milk will be useful to check the nutritional quality and to differentiate the kind of animal milk.",Journal of chromatography. A,[],[],Quantification of B-vitamins from different fresh milk samples using ultra-high performance liquid chromatography mass spectrometry/selected reaction monitoring methods.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/31443970,2019,0
31438647,"Human milk fat plays an essential role as the source of energy and cell function regulator; therefore, the preservation of unique human milk donors' lipid composition is of fundamental importance. To compare the effects of high pressure processing (HPP) and holder pasteurization on lipidome, human milk was processed at 62.5 °C for 30 min and at five variants of HPP from 450 MPa to 600 MPa, respectively. Lipase activity was estimated with QuantiChrom™ assay. Fatty acid composition was determined with the gas chromatographic technique, and free fatty acids content by titration with 0.1 M KOH. The positional distribution of fatty acid in triacylglycerols was performed. The oxidative induction time was obtained from the pressure differential scanning calorimetry. Carotenoids in human milk were measured by liquid chromatography. Bile salt stimulated lipase was completely eliminated by holder pasteurization, decreased at 600 MPa, and remained intact at 200 + 400 MPa; 450 MPa. The fatty acid composition and structure of human milk fat triacylglycerols were unchanged. The lipids of human milk after holder pasteurization had the lowest content of free fatty acids and the shortest induction time compared with samples after HPP. HPP slightly changed the β-carotene and lycopene levels, whereas the lutein level was decreased by 40.0% up to 60.2%, compared with 15.8% after the holder pasteurization.",Nutrients,[],[],"Lipid Profile, Lipase Bioactivity, and Lipophilic Antioxidant Content in High Pressure Processed Donor Human Milk.",[],[],https://www.ncbi.nlm.nih.gov/pubmed/31438647,2019,0
