PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year,predicted_usefulness,is_useful,comments,food,chem_ent_ratio,chemicals,bigram_score,chem_term_count
32182852,"Volatile sulfur compounds (VSCs) play an important role in the aroma profile of fermented beverages. However, because of their low concentration in samples, their analysis is difficult. The headspace solid-phase microextraction (HS-SPME) technique coupled with gas chromatography and mass spectrometry (GC-MS) is one of the methods successfully used to identify VSCs in wine and beer samples. However, this method encounters more obstacles when spirit beverages are analyzed, as the ethanol content of the matrix decreases the method sensitivity. In this work, different conditions applied during HS-SPME/GC-MS analysis, namely: ethanol concentration, salt addition, time and temperature of extraction, as well as fiber coating, were evaluated in regard to 19 sulfur compounds. The best results were obtained when 50/30 μm Divinylbenzene/Carboxen/Polydimethylsiloxane (DVB/CAR/PDMS) was used to preconcentrate the analytes from the sample at 35 °C for 30 min. The dilution of samples to 2.5% ","Molecules (Basel, Switzerland)",[],[],Development of the Method for Determination of Volatile Sulfur Compounds (VSCs) in Fruit Brandy with the Use of HS-SPME/GC-MS.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/32182852,2020,0,0,Fruit mixture,apple,0.16666666666666666,"['Volatile sulfur', 'HS-SPME', 'VSCs', 'sulfur', 'ethanol', 'headspace', 'Divinylbenzene/Carboxen/Polydimethylsiloxane']",1,8
32102431,"Biofortified apples seem to be a suitable produce. In this study, different selenium forms and application levels were applied to the two apple varieties 'Golden Delicious' and 'Jonagold', grown in the years 2017 and 2018 in order to increase the selenium uptake within a typical Western diet. It was shown that the biofortification, which was performed as a foliar application implemented in usual calcium fertilization, led to significantly increased selenium contents in the fruits. Furthermore, biofortification affected the total phenolic content (TPC), the polyphenol oxidase activity (PPO), as well as the antioxidant activity (AOA), the latter measured with the two well-known assays Trolox Equivalent Antioxidant Capacity Assay (TEAC) and Oxygen Radical Absorbance Capacity Assays (ORAC). The varying selenium forms and application levels showed a differing influence on the parameters mentioned before. Higher fertilizer levels resulted in higher selenium accumulation. It was found that PPO activity fluctuates less in biofortified apples. With regard to TPC, selenate led to higher amounts when compared to the untreated controls and selenite resulted in lower TPC. AOA analysis showed no clear tendencies as a result of the selenium biofortification. In the case of 'Jonagold', a higher AOA was generally measured when being biofortified, whereas, in the case of 'Golden Delicious', only one form of application led to higher AOA. Additionally, differences in the amount of major phenolic compounds, measured with High Performance Liquid Chromatography Mass Spectrometry (HPLC-DAD-ESI-MS","Antioxidants (Basel, Switzerland)",[],[],Influence of a Selenium Biofortification on Antioxidant Properties and Phenolic Compounds of Apples (,[],[],https://www.ncbi.nlm.nih.gov/pubmed/32102431,2020,1,1,Polyphenols,apple,0.2054794520547945,"['selenium', 'polyphenol', 'calcium', 'PPO', 'selenate', 'selenite', 'Trolox', 'AOA', 'Oxygen']",1,15
32050668,"This is the first study to reveal potential markers for volatile changes during ambient and accelerated shelf life of pasteurized apple juice. The volatile changes were monitored at 20, 30 and 40 °C using a headspace solid-phase microextraction-gas chromatography-mass spectrometry fingerprinting method. Using modern chemometrics and feature selection, hexanal, trans-2-hexenal, dimethyl sulphide, furfural, ethyl acetate and 1-pentanol were chosen as potential shelf life markers. Volatiles associated with the green, grassy and fresh apple aroma, such as hexanal and trans-2-hexenal, decreased during storage, whereas thermal load and browning associated compounds, like dimethyl sulphide and furfural, increased during storage. Hexanal and trans-2-hexenal can be markers to monitor the change in green-apple like character. Furfural and dimethyl sulphide can be markers of temperature abuse during juice processing and storage. Furfural can also be an indicator for juice browning. The present work effectively identified potential markers to monitor and predict volatile aroma changes of shelf stable apple juice in different storage conditions. Sensory analysis can be conducted in the future to confirm the aroma relevance of selected markers.","Foods (Basel, Switzerland)",[],[],Volatile Changes During Storage of Shelf Stable Apple Juice: Integrating GC-MS Fingerprinting and Chemometrics.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/32050668,2020,0,1,apple juice,apple,0.234375,"['hexanal', '1-pentanol', 'furfural', 'ethyl acetate', 'dimethyl sulphide', 'Hexanal', 'Furfural', 'trans-2-hexenal']",1,15
32036935,"The volatile aroma compounds of traditional Chinese rose vinegar were identified by headspace solid-phase micro extraction gas chromatography-mass spectrometry (HS-SPME-GC-MS) and GC-MS-olfactometry (GC-MS-O), and the metabolites were identified by silylation-GC-MS in this study. A total of 48 and 76 kinds of flavors and metabolites, respectively were detected in this study. Quantitative analysis showed that aldehydes and acids were present in relatively high amounts. Furthermore, the data colleted by the calculated odor activity values (OAVs) suggested that aldehydes are likely to contribute greatly to the aroma of traditional Chinese rose vinegar, especially, nonanal (OAV: 133, rose), 3-methyl-butanal (OAV: 57, apple-like), decanal (OAV: 23, orange peel), heptanal (OAV: 17, fruity), and dodecanal (OAV: 4-9, violet scents). Moreover, among the detected nonvolatile acids, 14 kinds of hydroxy acids, such as lactic acid, citric acid, 3-phenyllactic acid (PLA) and d-gluconic acid were detected in rose vinegar. The acids provide a well buffer system, not only greatly reduce the irritation of acetic acid, but also improve the flavor of rose vinegar. This study suggests that the fragrance and sour notes in rose vinegar are from aldehydes and hydroxy acids.","Food research international (Ottawa, Ont.)",[],[],Characterization of aldehydes and hydroxy acids as the main contribution to the traditional Chinese rose vinegar by flavor and taste analyses.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/32036935,2020,0,0,Apple-like,apple,0.2698412698412698,"['hydroxy acids', 'volatile aroma', 'lactic acid', 'acid', 'heptanal (OAV', 'citric acid', 'aldehydes', 'acetic acid', 'nonvolatile acids', 'headspace', 'acids', 'decanal', '4-9']",1,17
31980691,"Although health benefits of the Dietary Approaches to Stop Hypertension (DASH) diet are established, it is not understood which food compounds result in these benefits. We used metabolomics to identify unique compounds from individual foods of a DASH-style diet and determined if these Food-Specific Compounds (FSC) are detectable in urine from participants in a DASH-style dietary study. We also examined relationships between urinary compounds and blood pressure (BP). Nineteen subjects were randomized into 6-week controlled DASH-style diet interventions. Mass spectrometry-based metabolomics was performed on 24-hour urine samples collected before and after each intervention and on 12 representative DASH-style foods. Between 66-969 compounds were catalogued as FSC; for example, 4-hydroxydiphenylamine was found to be unique to apple. Overall, 13-190 of these FSC were detected in urine, demonstrating that these unmetabolized food compounds can be discovered in urine using metabolomics. Although linear mixed effects models showed no FSC from the 12 profiled foods were significantly associated with BP, other endogenous and food-related compounds were associated with BP (N = 16) and changes in BP over time (N = 6). Overall, this proof of principle study demonstrates that metabolomics can be used to catalog FSC, which can be detected in participant urine following a dietary intervention.",Scientific reports,[],[],Nutrimetabolomics reveals food-specific compounds in urine of adults consuming a DASH-style diet.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/31980691,2020,0,0,urine,apple,0.13114754098360656,"['Food-Specific', '4-hydroxydiphenylamine', 'DASH', 'FSC']",1,8
31945291,"In this study, sample processing of bulk commodities using an efficient one-step comminution procedure with liquid nitrogen (LN",Journal of agricultural and food chemistry,"['D002851', 'D005506', 'D005638', 'D057166', 'D009584', 'D010573', 'D011786', 'D018401', 'D053719', 'D014675']","['Chromatography, High Pressure Liquid', 'Food Contamination', 'Fruit', 'High-Throughput Screening Assays', 'Nitrogen', 'Pesticide Residues', 'Quality Control', 'Sample Size', 'Tandem Mass Spectrometry', 'Vegetables']",Assessment of Test Portion Sizes after Sample Comminution with Liquid Nitrogen in an Improved High-Throughput Method for Analysis of Pesticide Residues in Fruits and Vegetables.,"[None, 'Q000032', 'Q000737', 'Q000379', 'Q000737', 'Q000032', None, None, None, 'Q000737']","[None, 'analysis', 'chemistry', 'methods', 'chemistry', 'analysis', None, None, None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/31945291,2020,0,x,,apple,0.0,[],1,0
31887621,"In this work, a green, inexpensive, simple and fast deep eutectic solvent (DES)-based dispersive liquid-liquid microextraction was evaluated, for the first time, for the extraction of phthalates (i.e. benzylbutyl phthalate, diisobutyl phthalate, diisopentyl phthalate, di-n-pentyl phthalate, di-(2-ethylhexyl) phthalate, di-n-octyl phthalate, diisononyl phthalate, diisodecyl phthalate) from different beverages. Separation and determination were achieved by high performance liquid chromatography-diode-array detection while confirmation was carried out by tandem mass spectrometry. The main factors affecting the extraction such as type and volume of DES and emulsifier, pH and ionic strength, were optimised. Choline chloride:phenol-based DES showed the best results. The methodology was validated for tea, apple-based beverage and pineapple juice. Recovery values ranged from 84 to 120% with relative standard deviation values lower than 11%. Limits of detection of the method were in the range 5.1-14.2 µg L",Food chemistry,"['D002851', 'D003116', 'D000067030', 'D059627', 'D010795', 'D012997', 'D053719']","['Chromatography, High Pressure Liquid', 'Color', 'Fruit and Vegetable Juices', 'Liquid Phase Microextraction', 'Phthalic Acids', 'Solvents', 'Tandem Mass Spectrometry']",A green and simple procedure based on deep eutectic solvents for the extraction of phthalates from beverages.,"['Q000379', None, 'Q000032', 'Q000379', 'Q000302', 'Q000737', 'Q000379']","['methods', None, 'analysis', 'methods', 'isolation & purification', 'chemistry', 'methods']",https://www.ncbi.nlm.nih.gov/pubmed/31887621,2020,0,0,apple-base beverage,apple,0.15217391304347827,"['Choline chloride', 'diisononyl phthalate', 'emulsifier', 'phthalate', 'diisodecyl phthalate', 'DES']",1,7
31869501,"Considering the importance of developing a new analytical approach for pesticide residue detection for the sake of ensuring food safety, a β-cyclodextrin based molecularly imprinted polymer was prepared for selective determination of carbendazim. The polymers consist of a porous and hollow structure demonstrating the selective abundant adsorption sites for carbendazim molecule. The selectivity and adsorption capacity of the imprinted polymers were analyzed with dispersive solid-phase extraction and analyzed with high performance liquid chromatography coupled with ultraviolet. The results of imprinted polymers were higher than non-imprinted polymers with the maximum adsorption capacity of 3.65 mg/g within 30 min of total adsorption time. The reusability of the imprinted polymers was determined to evaluate its effectiveness and stability, which proved that the polymers lost 10% efficiency within seven consecutive recycles. The developed method displayed good linearity over the concentration range of 0.05-2.0 mg/L. The recovery percentage of 81.33-97.23 with relative standard deviations of 1.49-4.66% was obtained from spiked apple, banana, orange, and peach samples with a limit of detection of 0.03 mg/L and a limit of quantification of 0.10 mg/L (signal to noise ratio = 3/10). The overall performance of the proposed method evident that this technique provided a desirable outcome and it can be used as a convenient approach, as it qualifies the analytical standards.",Journal of separation science,[],[],Selective extraction of fungicide carbendazim in fruits using β-cyclodextrin based molecularly imprinted polymers.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/31869501,2020,0,0,spiked apple,apple,0.015873015873015872,['β-cyclodextrin'],1,1
31829625,"For quick, noninvasive, and high-sensitivity surface analysis of foods and agricultural products, a touch sensor was developed and applied to sheath-flow probe electrospray ionization/mass spectrometry (sfPESI/MS). Upon making contact with the sample, the probe stopped by detecting the current flowing through the circuit and analytes on the sample surface were extracted in the solvent preloaded in the plastic capillary. By lifting up the probe to the default position, an electrospray ionization mass spectrum of the sample was obtained. By scanning the sample stage using a programming tool, a point analysis of targeted positions of biological samples with a spot diameter of ≤0.3 mm was achieved. It took less than 10 s for one sample spot. This method was applied to various plants and animal tissues.",Journal of agricultural and food chemistry,"['D000818', 'D002645', 'D049832', 'D005399', 'D005504', 'D005638', 'D008460', 'D010944', 'D021241']","['Animals', 'Chickens', 'Decapodiformes', 'Fishes', 'Food Analysis', 'Fruit', 'Meat', 'Plants', 'Spectrometry, Mass, Electrospray Ionization']",Point Analysis of Foods by Sheath-Flow Probe Electrospray Ionization/Mass Spectrometry (sfPESI/MS) Coupled with a Touch Sensor.,"[None, None, 'Q000737', None, 'Q000295', 'Q000737', 'Q000032', 'Q000737', 'Q000295']","[None, None, 'chemistry', None, 'instrumentation', 'chemistry', 'analysis', 'chemistry', 'instrumentation']",https://www.ncbi.nlm.nih.gov/pubmed/31829625,2020,0,0,not apple,apple,0.0,[],1,0
31779088,"In this paper, the influence of flavour modification, artificially induced, on consumer acceptability of apple fruit is studied. The method consists of modifying the flavour of a real food matrix dipping apples into flavour solutions. Two flavouring compounds (linalool and anethole) that were responsible of ""floral"" and ""anise"" aroma descriptors, respectively, were considered here. The effectiveness of flavouring treatments was confirmed by instrumental analysis of volatile compounds profile using solid-phase microextraction gas chromatography/mass spectrometry (SPME/GC-MS) and by discriminative and descriptive sensory analyses. The effect of flavour-impact was evaluated in an informed test on the two flavoured 'Fuji' apples: the consumers were asked to evaluate the global liking of the treated and non-treated apples with information regarding the aromatic features. Participants' additional data on the characteristics on their ""ideal apple"", attitudes toward natural food, food neophobia, and demographic data were also recorded by specific questionnaires. A statistically significant effect on liking was found for the flavour factor, whereas external information only affected apple acceptance for subgroups of consumers, depending on their attitude towards food.","Molecules (Basel, Switzerland)",[],[],Investigating the Effect of Artificial Flavours and External Information on Consumer Liking of Apples.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/31779088,2020,0,0,artificial flavors of apples,apple,0.05172413793103448,"['flavour-impact', 'anethole', 'linalool']",1,3
31774279,"Application of gas chromatography-olfactometry (GC-O) analysis to pumpernickel bread and its intermediate products obtained during the fermentative process allowed for the recognition of 32 key aroma compounds with specific odor notes. Subsequent quantitation using the stable isotope dilution assay (SIDA) and calculation of odor activity values (OAVs) revealed 22 compounds with OAV > 1, with the highest OAV for 3-methylbutanal with a malty odor (6660), 2-methylbutanal with a malty odor (4560), 3-(methylthio)propanal with a boiled potato odor (2047), 3-hydroxy-4,5-dimethyl-2(5",Journal of agricultural and food chemistry,[],[],Formation of Key Aroma Compounds during Preparation of Pumpernickel Bread.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/31774279,2019,0,0,Pumpernickel bread,apple,0.04,['3-methylbutanal'],1,1
31767906,"Bisphenol-A (BPA) is a synthetic chemical ubiquitous in the environment and listed as an endocrine disruptor. It has the tendency of migrating into food stored in materials containing it. This study, therefore, determines the concentrations of BPA in foods commonly consumed in Southwest Nigeria by the adult population and also estimates the risk associated with human exposure. Eight different food categories were selected for this study. Standard QuEChERS protocol was used for sample extraction and analysed using gas chromatography-mass spectrometry (GC-MS). Vegetable oil had the highest BPA concentration (28.4 ng/g). This was followed by aquatic canned fish (26.3 ng/g), canned beef (21.3 ng/g) and crayfish (17.5 ng/g). These concentrations were below the 600 ng/g limit of the European Commission for BPA in foods. Bisphenol-A was not detected in raw beef, chicken, cheese, apple, tomatoes, beans and rice; and chicken eggs. The adult population had an average dietary intake of 30.4 ng/kg bw/day. There is no likely occurrence of harmful health effects of BPA in the selected foods with respect to the current concentrations found therein. However, routine monitoring is recommended to prevent human exposure to BPA.",Scientific reports,[],[],Bisphenol-A (BPA) in Foods commonly consumed in Southwest Nigeria and its Human Health Risk.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/31767906,2020,0,0,BPA contamination in foods,apple,0.0,[],1,0
31757490,"Innovative chemometric approaches by NMR and LC-MS data fusion (multiblock analysis) and decomposition of the GC-MS raw data by PARADISe were applied to evaluate the influence of thermal and non-thermal processing on the composition of cashew apple juices. Comparative investigations by Principal Component Analysis (PCA) highlighted pronounced effect of thermal processing on juice compared to non-thermal processing, as decreases of anacardic acids, sucrose, malic acid, tyrosine, phenylalanine, and important flavor compounds (esters, aldehydes, and ketones). Ultrasound presented relevant influence on increase of anacardic acids concentration. Non-thermal processing carried out at more intense conditions (10 min of ultrasound, 5 min of ozone, and pulsed light at 10 V) showed pronounced effect compared to other non-thermal processing. Although individual PCA enables to detect the influence of different processing technologies, data fusion and PARADISe presented advantages, since a more comprehensive understanding of the relationship among chemical changes from different analytical techniques were established.",Food chemistry,"['D048729', 'D031021', 'D002851', 'D000067030', 'D008401', 'D006358', 'D009682', 'D008293', 'D010126', 'D025341', 'D013010', 'D053719', 'D014466']","['Anacardic Acids', 'Anacardium', 'Chromatography, High Pressure Liquid', 'Fruit and Vegetable Juices', 'Gas Chromatography-Mass Spectrometry', 'Hot Temperature', 'Magnetic Resonance Spectroscopy', 'Malates', 'Ozone', 'Principal Component Analysis', 'Sonication', 'Tandem Mass Spectrometry', 'Ultraviolet Rays']","An integrated analytical approach based on NMR, LC-MS and GC-MS to evaluate thermal and non-thermal processing of cashew apple juice.","['Q000032', 'Q000737', None, 'Q000032', None, None, None, 'Q000032', 'Q000737', None, None, None, None]","['analysis', 'chemistry', None, 'analysis', None, None, None, 'analysis', 'chemistry', None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/31757490,2020,0,0,"Cashew apple, not apple",apple,0.15,"['ozone', 'anacardic acids', 'aldehydes', 'phenylalanine', 'esters', 'malic acid', 'sucrose', 'ketones', 'tyrosine']",1,9
31757486,"A flow injection - mass spectrometry method for rapid glyphosate detection in food commodities was developed and validated. The sample preparation protocol included a simple and rapid extract purification step through polymeric solid phase extraction cartridges followed by addition of isotopically labeled glyphosate to the final test sample. The optimized method was subjected to intra-laboratory validation (spiking range 0.5-100 mg/kg) in chickpeas, grapes and apples, as representatives of three different commodity groups as defined in SANTE/11813/2017 guidelines. Recoveries were in the range 60-111%, repeatability and within laboratory reproducibility were ≤17%.The trueness of the results generated with the developed method was evaluated by analysis of a set of incurred chickpea and wheat samples (glyphosate range 0.5-36 mg/kg) and comparison with the reference method (Quick Polar Pesticides Method), confirming the method fitness-for-purpose of rapid compliance testing.",Food chemistry,"['D029863', 'D017022', 'D005504', 'D005506', 'D005638', 'D005998', 'D027845', 'D013058', 'D010575', 'D015203', 'D052616', 'D014908']","['Cicer', 'Flow Injection Analysis', 'Food Analysis', 'Food Contamination', 'Fruit', 'Glycine', 'Malus', 'Mass Spectrometry', 'Pesticides', 'Reproducibility of Results', 'Solid Phase Extraction', 'Triticum']","Rapid and reliable detection of glyphosate in pome fruits, berries, pulses and cereals by flow injection - Mass spectrometry.","['Q000737', 'Q000379', 'Q000379', 'Q000032', 'Q000737', 'Q000031', 'Q000737', 'Q000379', 'Q000032', None, 'Q000379', 'Q000737']","['chemistry', 'methods', 'methods', 'analysis', 'chemistry', 'analogs & derivatives', 'chemistry', 'methods', 'analysis', None, 'methods', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/31757486,2020,0,0,spiked apples,apple,0.06818181818181818,['glyphosate'],1,3
31755018,"There are contrasting hypotheses regarding the role of plant volatiles in host plant location. We used the grape berry moth (GBM; Paralobesia viteana)-grape plant (Vitis spp.) complex as a model for studying the proximate mechanisms of long distance olfactory-mediated, host-plant location and selection by a specialist phytophagous insect. We used flight tunnel assays to observe GBM female in-flight responses to host (V. riparia) and non-host (apple, Malus domestica; and gray dogwood, Cornus racimosa,) odor sources in the form of plant shoots, extracts of shoots, and synthetic blends. Gas chromatography-electroantennographic detection and gas chromatography/mass spectrometry analyses were used to identify antennal-active volatile compounds. All antennal-active compounds found in grape shoots were also present in dogwood and apple shoots. Female GBM flew upwind to host and non-host extracts and synthetic blends at similar levels, suggesting discrimination is not occurring at long distance from the plant. Further, females did not land on sources releasing plant extracts and synthetic blends, suggesting not all landing cues were present. Additionally, mated and unmated moths displayed similar levels of upwind flight responses to all odor sources, supporting the idea that plant volatiles are not functioning solely as ovipositional cues. The results of this study support a hypothesis that GBM females are using volatile blends to locate a favorable habitat rather than a specific host plant, and that discrimination is occurring within the habitat, or even post-landing.",Journal of chemical ecology,"['D000818', 'D001522', 'D029768', 'D005260', 'D008401', 'D058507', 'D006790', 'D007300', 'D027845', 'D009036', 'D009812', 'D010058', 'D010936', 'D018520', 'D012903', 'D027843', 'D055549']","['Animals', 'Behavior, Animal', 'Cornus', 'Female', 'Gas Chromatography-Mass Spectrometry', 'Host Specificity', 'Host-Parasite Interactions', 'Insect Control', 'Malus', 'Moths', 'Odorants', 'Oviposition', 'Plant Extracts', 'Plant Shoots', 'Smell', 'Vitis', 'Volatile Organic Compounds']","Proximate Mechanisms of Host Plant Location by a Specialist Phytophagous Insect, the Grape Berry Moth, Paralobesia Viteana.","[None, None, 'Q000737', None, 'Q000379', None, None, 'Q000379', 'Q000737', 'Q000502', 'Q000032', 'Q000187', 'Q000737', 'Q000737', None, 'Q000737', 'Q000737']","[None, None, 'chemistry', None, 'methods', None, None, 'methods', 'chemistry', 'physiology', 'analysis', 'drug effects', 'chemistry', 'chemistry', None, 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/31755018,2019,0,0,grape plant,apple,0.060240963855421686,"['Paralobesia viteana)-grape plant (Vitis', 'GBM', 'grape berry moth']",1,5
