Unnamed: 0,PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year,predicted_usefulness,is_useful,comments,food,chem_ent_ratio,chemicals,bigram_score,chem_term_count
10,29332819,"The genus Ocimum (Labiatae) comprises 30 species found in tropical and subtropical regions of the planet, of which species O. basilicum L. and O. gratissimum are widely used in food and traditional medicine. Phytochemical studies on Ocimum have revealed a number of essential oil chemotypes, for example, eugenol, methyl chavicol, linalool, and methyl cinnamate. Since essential oils are commercially assessed according to their content, the aim of this study was to develop a simple and precise method for their qualitative and quantitative analysis using NMR spectroscopy combined with chemometrics. Seven essential oils from different species of Ocimum, an unknown sample, and a commercial sample were evaluated and the results compared to those from established and precise GC-MS and GC-FID methods. Chemometric evaluation from both ",Talanta,"['D000080462', 'D000840', 'D002849', 'D002934', 'D003511', 'D000077591', 'D005054', 'D008401', 'D009682', 'D039821', 'D031339', 'D009822', 'D010938']","['Acyclic Monoterpenes', 'Anisoles', 'Chromatography, Gas', 'Cinnamates', 'Cyclohexanols', 'Eucalyptol', 'Eugenol', 'Gas Chromatography-Mass Spectrometry', 'Magnetic Resonance Spectroscopy', 'Monoterpenes', 'Ocimum', 'Oils, Volatile', 'Plant Oils']",Chemometric analysis of NMR and GC datasets for chemotype characterization of essential oils from different species of Ocimum.,"[None, 'Q000032', 'Q000379', 'Q000032', 'Q000032', None, 'Q000032', 'Q000379', 'Q000379', 'Q000032', 'Q000737', 'Q000032', 'Q000032']","[None, 'analysis', 'methods', 'analysis', 'analysis', None, 'analysis', 'methods', 'methods', 'analysis', 'chemistry', 'analysis', 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/29332819,2018,1,1,Essential oil,basil,0.11904761904761904,"['methyl chavicol', 'methyl cinnamate', 'eugenol', 'Ocimum', 'linalool']",1,5
24,26797599,"Solvent-free microwave extraction (SFME) and conventional hydro-distillation (HD) were used for the extraction of essential oils (EOs) from Egyptian sweet basil (Ocimum basilicum L.) leaves. The two resulting EOs were compared with regards to their chemical composition, antioxidant, and antimicrobial activities. The EO analyzed by GC and GC-MS, presented 65 compounds constituting 99.3% and 99.0% of the total oils obtained by SFME and HD, respectively. The main components of both oils were linalool (43.5% SFME; 48.4% HD), followed by methyl chavicol (13.3% SFME; 14.3% HD) and 1,8-cineole (6.8% SFME; 7.3% HD). Their antioxidant activity were studied with the 2,2-diphenyl-1-picrylhydrazyl (DPPH(•)) radical scavenging method. The heating conditions effect was evaluated by the determination of the Total Polar Materials (TPM) content. The antimicrobial activity was investigated against five microorganisms: two Gram-positive bacteria, Staphylococcus aureus and Bacillus subtilis, two Gram-negative bacteria, Escherichia coli and Pseudomonas aeruginosa, and one yeast, Candida albicans. Both EOs showed high antimicrobial, but weak antioxidant, activities. The results indicated that the SFME method may be a better alternative for the extraction of EO from O. basilicum since it could be considered as providing a richer source of natural antioxidants, as well as strong antimicrobial agents for food preservation. ","Molecules (Basel, Switzerland)","['D000890', 'D000975', 'D057168', 'D008401', 'D007700', 'D008872', 'D018649', 'D009822', 'D010936', 'D012997', 'D013816']","['Anti-Infective Agents', 'Antioxidants', 'Distillation', 'Gas Chromatography-Mass Spectrometry', 'Kinetics', 'Microwaves', 'Ocimum basilicum', 'Oils, Volatile', 'Plant Extracts', 'Solvents', 'Thermodynamics']",Comparative Study of Essential Oils Extracted from Egyptian Basil Leaves (Ocimum basilicum L.) Using Hydro-Distillation and Solvent-Free Microwave Extraction.,"['Q000737', 'Q000737', 'Q000379', None, None, None, 'Q000737', 'Q000737', 'Q000737', 'Q000737', None]","['chemistry', 'chemistry', 'methods', None, None, None, 'chemistry', 'chemistry', 'chemistry', 'chemistry', None]",https://www.ncbi.nlm.nih.gov/pubmed/26797599,2016,1,1,Essential oil,basil,0.1044776119402985,"['hydro-distillation', 'Ocimum basilicum L.) leaves', 'TPM', 'methyl chavicol', '2,2-diphenyl-1-picrylhydrazyl', '1,8-cineole', 'linalool']",1,7
26,26471526,"In this study Ocimum basilicum L. (OB) and Ocimum tenuiflorum L. (OT) in vitro culture standardisation for increasing eugenol distribution, in comparison to their respective field grown parts was carried out. Eugenol was quantified using an optimised HPLC method and its relation with the total phenolic content (TPC) was measured. In vitro grown leaves and somatic embryos, of both OB and OT were found to contain similar quantities of eugenol (85μg/g approximately), higher than OB and OT field-grown leaves (30.2μg/g and 25.1μg/g respectively). It was also determined that in vitro grown leaves were richer in TPC than the field-grown intact organs. Results demonstrated the prominence of in vitro cultures for eugenol extraction. This study underlines that important food flavouring metabolites (e.g. vanillin, vanillic acids) might be produced, via the eugenol pathway, in Ocimum species that may be a good potential source of eugenol.",Food chemistry,"['D002851', 'D005054', 'D066298', 'D018649', 'D018515']","['Chromatography, High Pressure Liquid', 'Eugenol', 'In Vitro Techniques', 'Ocimum basilicum', 'Plant Leaves']",Can Ocimum basilicum L. and Ocimum tenuiflorum L. in vitro culture be a potential source of secondary metabolites?,"['Q000379', 'Q000737', None, 'Q000737', 'Q000737']","['methods', 'chemistry', None, 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/26471526,2016,1,1,"Eugenol, phenolics",basil,0.23404255319148937,"['eugenol', 'OT', 'vanillin', 'vanillic acids', 'Eugenol']",1,11
27,26470193,"The fumigant activity of essential oil vapors distilled from sweet basil Ocimum basilicum L. and spearmint Mentha spicata L. (Lamiaceae) were tested against two major stored products pests Ephestia kuehniella (Zeller) and Plodia interpunctella (Hübner) (Lepidoptera: Pyralidae). Various oil doses (0.5, 2.5, 5, 50, 250, 500, 1,000, and 1,500 µl/liter air), for an exposure period of 24 h, were tested. The essential oils were subjected to gas chromatography-mass spectrometry analysis and revealed that the major compounds were for spearmint oil carvone (67.1%) and limonene (+1,8 cineole; 14.3%) and for basil oil linalool (45.9%), 1,8 cineole (16.7%) and eugenol (10.3%). Apart from a few exceptions, no significant differences in insecticidal action were observed between basil and spearmint oil. Both oils were highly effective against adult moths, given that notable mortality (>80%) was recorded after exposure to low doses such as 2.5 µl/liter. Noteworthy, egg mortality was also recorded, reaching 73-79% for basil and 56-60% for spearmint. Toxicity data indicated that larvae and pupae were the most tolerant stages in all cases. Larval mortality never exceeded 21 and 18%, for basil and spearmint, respectively, irrespective of moth species. Basil and spearmint oils displayed mortalities as high as 38 and 28% in pupae. Lethal doses (LD50 and LD99) values were estimated via probit analysis. Developmental stage proved to be a significant factor, whereas the effect of oil species on insect mortality was insignificant. With the exception of adult individuals, basil and spearmint oils did not show satisfactory overall insecticidal activity against E. kuehniella and P. interpunctella. ",Journal of economic entomology,"['D000818', 'D005651', 'D007306', 'D007814', 'D007928', 'D031337', 'D009036', 'D009822', 'D010063', 'D010938']","['Animals', 'Fumigation', 'Insecticides', 'Larva', 'Lethal Dose 50', 'Mentha spicata', 'Moths', 'Oils, Volatile', 'Ovum', 'Plant Oils']",Fumigant Toxicity of Essential Oils from Basil and Spearmint Against Two Major Pyralid Pests of Stored Products.,"[None, None, 'Q000032', None, None, 'Q000737', None, 'Q000737', None, 'Q000737']","[None, None, 'analysis', None, None, 'chemistry', None, 'chemistry', None, 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/26470193,2015,1,1,Essential oil,basil,0.1111111111111111,"['eugenol', 'spearmint oil carvone', 'spearmint Mentha spicata L.', 'limonene', 'basil oil linalool', '1,8 cineole', 'spearmint oils']",1,9
30,25522548,"The composition of hydrodistilled essential oils of Ocimum basilicum L. (four chemovariants), O. tenuiflorum L., O. gratissimum L., and O. kilimandscharicum Guerke were analyzed and compared by using capillary gas chromatography (GC/FID) and GC-mass spectrometry (GC/MS). Phenyl propanoids (upto 87.0%) and monoterpenoids (upto 83.3%) were prevalent constituents distributed in the studied Ocimum taxa. The major constituents of the four distinct chemovariants of O. basilicum were methyl chavicol (86.3%), methyl chavicol (61.5%)/linalool (28.6%), citral (65.9%); and linalool (36.1%)/citral (28.8%). Eugenol (66.5% and 78.0%) was the major constituent of O. tenuiflorum and O. gratissimum. Eugenol (34.0%), β-bisabolene (15.4%), (E)-α-bisabolene (10.9%), methyl chavicol (10.2%) and 1,8-cineole (8.2%) were the major constituents of O. kilimandscharicum. In order to explore the potential for industrial use, the extracted essential oils were assessed for their antifungal potential through poison food technique against two phytopathogens, Rhizoctonia solani and Choanephora cucurbitarum, which cause root and wet rot diseases in various crops. O. tenuiflorum, O. gratissimum, and O. kilimandscharicum exhibited complete growth inhibition against R. solani and C. cucurbitarum after 24 and 48 h of treatment. O. basilicum chemotypes showed variable levels of growth inhibition (63.0%-100%) against these two phytopathogens.",Natural product communications,"['D000080462', 'D000840', 'D000935', 'D003511', 'D000077591', 'D000081222', 'D039821', 'D031339', 'D018649', 'D009822', 'D012232', 'D012717']","['Acyclic Monoterpenes', 'Anisoles', 'Antifungal Agents', 'Cyclohexanols', 'Eucalyptol', 'Monocyclic Sesquiterpenes', 'Monoterpenes', 'Ocimum', 'Ocimum basilicum', 'Oils, Volatile', 'Rhizoctonia', 'Sesquiterpenes']","Compositional variability and antifungal potentials of ocimum basilicum, O. tenuiflorum, O. gratissimum and O. kilimandscharicum essential oils against Rhizoctonia solani and Choanephora cucurbitarum.","[None, 'Q000737', 'Q000737', 'Q000737', None, None, 'Q000737', 'Q000737', 'Q000737', 'Q000737', 'Q000187', 'Q000737']","[None, 'chemistry', 'chemistry', 'chemistry', None, None, 'chemistry', 'chemistry', 'chemistry', 'chemistry', 'drug effects', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/25522548,2015,1,1,Essential oil,basil,0.20967741935483872,"['Ocimum basilicum L.', 'methyl chavicol', 'monoterpenoids', 'GC/FID', 'citral', 'β-bisabolene', '1,8-cineole', 'O. kilimandscharicum Guerke', 'Eugenol', 'linalool']",1,13
37,24453175,"Phenolic compounds contained in essential oils from plants are responsible for their anti-oxidant capacity. The natural extract from each aromatic plant is characterised by a typical ratio of phenolic components, so each one of the essential oils shows different properties.",Phytochemical analysis : PCA,"['D001547', 'D002138', 'D002851', 'D000081007', 'D055664', 'D005054', 'D036142', 'D015394', 'D039821', 'D018649', 'D009822', 'D031341', 'D010636', 'D018515', 'D010938', 'D015203', 'D012680', 'D027842', 'D013943']","['Benzaldehydes', 'Calibration', 'Chromatography, High Pressure Liquid', 'Cymenes', 'Electrochemical Techniques', 'Eugenol', 'Mentha piperita', 'Molecular Structure', 'Monoterpenes', 'Ocimum basilicum', 'Oils, Volatile', 'Origanum', 'Phenols', 'Plant Leaves', 'Plant Oils', 'Reproducibility of Results', 'Sensitivity and Specificity', 'Syzygium', 'Thymol']",Sensitive and selective determination of phenolic compounds from aromatic plants using an electrochemical detection coupled with HPLC method.,"['Q000737', None, 'Q000379', None, None, 'Q000737', 'Q000737', None, 'Q000737', 'Q000737', 'Q000737', 'Q000737', 'Q000737', 'Q000737', 'Q000737', None, None, 'Q000737', 'Q000737']","['chemistry', None, 'methods', None, None, 'chemistry', 'chemistry', None, 'chemistry', 'chemistry', 'chemistry', 'chemistry', 'chemistry', 'chemistry', 'chemistry', None, None, 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/24453175,2014,1,1,Phenolics,basil,0.1,['aromatic'],1,1
40,25763039,"Bacterial infections cause thousands of deaths in the world every year. In most cases, infections are more serious because the patient is already weakened, and often, the bacteria are already resistant to the antibiotics used. Counterparting this negative scenario, the interest in medicinal plants as an alternative to the synthetic antimicrobial drugs is blossoming worldwide. In the present work, we identified the volatile compounds of ethanol extracts of Melissa officinalis, Mentha sp., Ocimum basilicum, Plectranthus barbatus, and Rosmarinus officinalis by gas chromatography/mass spectrometry (GC/MS). Also was evaluated antimicrobial activity of ethanol extracts against 6 bacteria of clinical interest, and was tested the interaction of these extracts with a commercial antibiotic streptomycin. Phytol was a compound identified in all extracts by GC/MS, being majoritary component in Plectranthus barbatus and Rosmarinus officinalis. The Gram-positive bacteria were more sensitive to ethanol extracts, and Plectranthus barbatus and Rosmarinus officinalis were the most active extracts. Ethanol extracts exhibited a synergetic effect with streptomycin. These results encourage additional studies, in order to evaluate the possibilities of using ethanol extracts of Lamiaceae family as natural source for antibacterial activity. ",Brazilian journal of microbiology : [publication of the Brazilian Society for Microbiology],"['D000900', 'D001419', 'D004357', 'D008401', 'D006801', 'D019686', 'D008826', 'D010936', 'D013307', 'D055549']","['Anti-Bacterial Agents', 'Bacteria', 'Drug Synergism', 'Gas Chromatography-Mass Spectrometry', 'Humans', 'Lamiaceae', 'Microbial Sensitivity Tests', 'Plant Extracts', 'Streptomycin', 'Volatile Organic Compounds']",Volatile compounds of Lamiaceae exhibit a synergistic antibacterial activity with streptomycin.,"['Q000302', 'Q000187', None, None, None, 'Q000737', None, 'Q000302', 'Q000494', 'Q000302']","['isolation & purification', 'drug effects', None, None, None, 'chemistry', None, 'isolation & purification', 'pharmacology', 'isolation & purification']",https://www.ncbi.nlm.nih.gov/pubmed/25763039,2015,1,1,Ethanolic extract,basil,0.15254237288135594,"['streptomycin', 'Lamiaceae', 'Phytol', 'ethanol', 'Ethanol']",1,9
48,23025188,"In our search for effective tick repellents from plant origin, we investigated the effect of essential oils of four medicinal and culinary plants belonging to the family Lamiaceae on nymphs of the tick Ixodes ricinus (L.). The essential oils of the dry leaves of Rosmarinus officinalis (Rosemary) (L.), Mentha spicata (Spearmint) (L.), Origanum majorana (Majoram) (L.), and Ocimum basilicum (Basil) (L.) were isolated by steam distillation and 15 microg/cm2 concentration of oils was tested against ticks in a laboratory bioassay. The oils of R. officinalis, M. spicata, and O. majorana showed strong repellency against the ticks 100, 93.2, and 84.3%, respectively, whereas O. basilicum only showed 64.5% repellency. When tested in the field, the oils of R. officinalis and M. spicata showed 68.3 and 59.4% repellency at a concentration of 6.5 microg/cm2 on the test cloths. The oils were analyzed by gas chromatography mass spectrometry and the major compounds from the most repellent oils were 1,8-cineole, camphor, linalool, 4-terpineol, borneol, and carvone.",Journal of medical entomology,"['D000818', 'D004534', 'D008401', 'D007302', 'D018884', 'D019686', 'D009758', 'D009822', 'D010946']","['Animals', 'Egypt', 'Gas Chromatography-Mass Spectrometry', 'Insect Repellents', 'Ixodes', 'Lamiaceae', 'Nymph', 'Oils, Volatile', 'Plants, Medicinal']",Chemical composition and repellency of essential oils from four medicinal plants against Ixodes ricinus nymphs (Acari: Ixodidae).,"[None, None, None, 'Q000302', None, 'Q000737', None, 'Q000737', 'Q000737']","[None, None, None, 'isolation & purification', None, 'chemistry', None, 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/23025188,2012,1,1,Essential oil,basil,0.16393442622950818,"['Lamiaceae', 'borneol', 'Majoram', '1,8-cineole', 'oils of R. officinalis, M. spicata', 'carvone', 'camphor', 'Ocimum basilicum (Basil)', 'linalool', '4-terpineol']",1,10
49,22924490,"The aim of this study was to elucidate the presence of vitamin E homologues in medicinal plants. To identify various homologues in the matrix of medicinal plant samples, a method for simultaneous determination was developed using ESI(+)-LC-MS3. A complete separation of each homologue was achieved within 20 min using a PFP column and an isocratic elution system of water/methanol (10:90, v/v) at a flow rate of 0.5 mL/min. The ESI-MS condition for each homologue was optimized, and the m/z value and the fragmentation pathway of each homologue were summarized. This LC-MS3 method made it possible to detect the homologues without the effect of matrix; therefore, high sensitive analysis was established, and then, the MS3 makes it possible to extract from plants with methanol only. The LC-MS3 method was applied to identify the eight vitamin E homologues in 11 medicinal plants.",Journal of agricultural and food chemistry,"['D002851', 'D005052', 'D030001', 'D020902', 'D031334', 'D027541', 'D018649', 'D010936', 'D010946', 'D021241', 'D036625', 'D024508', 'D014810']","['Chromatography, High Pressure Liquid', 'Eucalyptus', 'Foeniculum', 'Hypericum', 'Melissa', 'Mentha', 'Ocimum basilicum', 'Plant Extracts', 'Plants, Medicinal', 'Spectrometry, Mass, Electrospray Ionization', 'Stevia', 'Tocotrienols', 'Vitamin E']",The identification of vitamin E homologues in medicinal plant samples using ESI(+)-LC-MS3.,"['Q000379', 'Q000737', 'Q000737', 'Q000737', 'Q000737', 'Q000737', 'Q000737', 'Q000032', 'Q000737', 'Q000379', 'Q000737', 'Q000032', 'Q000031']","['methods', 'chemistry', 'chemistry', 'chemistry', 'chemistry', 'chemistry', 'chemistry', 'analysis', 'chemistry', 'methods', 'chemistry', 'analysis', 'analogs & derivatives']",https://www.ncbi.nlm.nih.gov/pubmed/22924490,2013,1,0,qualitative only,basil,0.125,"['PFP', 'vitamin E', 'water/methanol', 'methanol']",1,5
64,19476006,"Enantiomeric ratios of linalool have been determined in various authentic essential oils of Indian origin using 10% heptakis(2,3-di-O-methyl-6-O-tert-butyldimethylsilyl)-beta-cyclodextrin as a chiral stationary phase. A complete enantiomeric excess (ee) for (3S)-(+)-linalool was characteristic of Lippia alba and Cinnamomum tamala leaf oils while less than 90% excess was noticed in Zanthoxylum armatum leaf, Zingiber roseum root/rhizome and Citrus sinensis leaf oils. On the contrary, an enantiomeric excess of (3R)-(-)-linalool characterizes essential oils of basil (100% for Ocimum basilicum) and bergamot mint (72 to 75% for Mentha citrata). Notably, some essential oils containing both enantiomers in equal ratios or in racemic forms are rose, geranium, lemongrass and Origanum. The enantiomeric composition studies are discussed as indicators of origin authenticity and quality of essential oil of Indian origin.",Natural product communications,"['D000080462', 'D002849', 'D005410', 'D007194', 'D013058', 'D039821', 'D009822', 'D010944']","['Acyclic Monoterpenes', 'Chromatography, Gas', 'Flame Ionization', 'India', 'Mass Spectrometry', 'Monoterpenes', 'Oils, Volatile', 'Plants']",Enantiomeric composition of (3R)-(-)- and (3S)-(+)-linalool in various essential oils of Indian origin by enantioselective capillary gas chromatography-flame ionization and mass spectrometry detection methods.,"[None, None, None, None, None, 'Q000737', 'Q000737', 'Q000737']","[None, None, None, None, None, 'chemistry', 'chemistry', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/19476006,2009,1,1,Essential oil,basil,0.14285714285714285,"['Ocimum basilicum', 'bergamot mint', 'enantiomers', 'geranium', 'linalool']",1,5
