PMID,chromatography,class,food_term_count,gen_term_count,sci_term_count,spectrometry,spectrophotometry,chem_ent_ratio,chem_term_count,bigram_score
32182852,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.16666666666666666,8,0.0
32102431,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.21428571428571427,15,0.0
32050668,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.234375,15,0.0
32036935,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.27419354838709675,17,0.0
31980691,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.13333333333333333,8,0.0
31945291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
31887621,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.16279069767441862,7,0.0
31869501,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.015625,1,0.0
31829625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0
31779088,1.0,0.0,4.0,4.0,0.0,1.0,0.0,0.05084745762711865,3,0.0
31774279,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.041666666666666664,1,0.0
31767906,1.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,0,0.0
31757490,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15789473684210525,9,0.0
31757486,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.09375,3,0.0
31755018,1.0,0.0,4.0,0.0,2.0,1.0,0.0,0.05952380952380952,5,0.0
31734008,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.27450980392156865,14,0.0
31717908,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.058823529411764705,1,0.0
31711810,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.06666666666666667,3,0.0
31682121,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0851063829787234,4,0.0
31679853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,2,0.0
31670953,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.16666666666666666,11,0.0
31670123,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,3,0.0
31668414,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.046875,3,0.0
31651235,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0
31645962,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.24390243902439024,10,0.0
31634409,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.07692307692307693,5,0.0
31606633,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.15384615384615385,8,0.0
31554098,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.12643678160919541,11,0.0
31541938,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.08333333333333333,5,0.0
31533286,1.0,1.0,13.0,0.0,0.0,1.0,0.0,0.15463917525773196,15,0.0
31519248,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.19402985074626866,13,0.0
31514865,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15151515151515152,10,0.0
31513995,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.17777777777777778,16,0.0
31503479,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.029411764705882353,1,0.0
31499290,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.19696969696969696,13,0.0
31471896,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.16666666666666666,4,0.0
31408160,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0273972602739726,2,0.0
31401185,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.23529411764705882,16,0.0
31400581,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.12903225806451613,4,0.0
31377482,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.28378378378378377,21,0.0
31373318,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.04285714285714286,3,0.0
