PMID,chromatography,class,food_term_count,gen_term_count,sci_term_count,spectrometry,spectrophotometry,chem_ent_ratio,chem_term_count,bigram_score
29332819,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.13157894736842105,5,0.0
26797599,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.1044776119402985,7,0.0
26471526,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.23404255319148937,11,0.0
26470193,1.0,1.0,7.0,0.0,1.0,1.0,0.0,0.10714285714285714,9,0.0
25522548,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.23214285714285715,13,0.0
24453175,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,1,0.0
25763039,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.14754098360655737,9,0.0
23025188,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.1694915254237288,10,0.0
22924490,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1282051282051282,5,0.0
19476006,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.14705882352941177,5,0.0
18643974,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.1927710843373494,16,0.0
18492147,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.16853932584269662,15,0.0
14693447,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.04918032786885246,3,0.0
12943769,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.21212121212121213,14,0.0
12769527,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.11764705882352941,6,0.0
12670169,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.07272727272727272,4,0.0
12568551,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.24561403508771928,14,0.0
11170620,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,6,0.0
32089291,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16216216216216217,6,0.0
31679077,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0425531914893617,2,0.0
31241395,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.15384615384615385,10,0.0
31227024,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.037037037037037035,1,0.0
30943244,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.010526315789473684,1,0.0
30806167,1.0,0.0,3.0,3.0,0.0,1.0,0.0,0.1702127659574468,16,0.0
30628556,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0,0.0
30466367,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.3333333333333333,17,0.0
30105074,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0898876404494382,8,0.0
29772944,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,1,0.0
29024882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
28784486,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.06666666666666667,4,0.0
28633539,1.0,1.0,11.0,0.0,0.0,1.0,0.0,0.1919191919191919,19,0.0
28157588,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.24528301886792453,13,0.0
28000503,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.23529411764705882,4,0.0
27397646,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.1891891891891892,7,0.0
27451148,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,10,0.0
28911550,1.0,1.0,6.0,1.0,0.0,1.0,0.0,0.25675675675675674,19,0.0
27061877,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.15053763440860216,14,0.0
26991289,1.0,1.0,7.0,4.0,1.0,1.0,0.0,0.014285714285714285,1,0.0
26880438,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.14893617021276595,7,0.0
26803763,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12698412698412698,8,0.0
26802527,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.10126582278481013,8,0.0
26596707,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.1111111111111111,6,0.0
26000023,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.22580645161290322,14,0.0
25542121,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.16071428571428573,9,0.0
25455854,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1095890410958904,8,0.0
25265817,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.25882352941176473,22,0.0
24814000,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.14814814814814814,12,0.0
24773447,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07017543859649122,4,0.0
24758511,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.11320754716981132,6,0.0
24607424,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.13636363636363635,15,0.0
24444959,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.21951219512195122,9,0.0
24402854,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0
24043430,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.1566265060240964,13,0.0
23606039,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.06666666666666667,1,0.0
23578628,1.0,1.0,4.0,1.0,0.0,1.0,0.0,0.15384615384615385,8,0.0
23575125,1.0,1.0,3.0,0.0,2.0,1.0,0.0,0.16326530612244897,16,0.0
23265452,1.0,0.0,10.0,0.0,1.0,0.0,0.0,0.23076923076923078,15,0.0
23235794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
23184958,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.2894736842105263,11,0.0
22417594,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.18518518518518517,15,0.0
22223305,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.10144927536231885,7,0.0
22171516,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.21621621621621623,8,0.0
21999332,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.16,8,0.0
21506887,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.36666666666666664,22,0.0
21056309,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2413793103448276,7,0.0
20865426,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.20967741935483872,13,0.0
20825192,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.125,6,0.0
20530897,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0967741935483871,6,0.0
20499917,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.19696969696969696,13,0.0
22163554,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.07936507936507936,5,0.0
20000573,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.2857142857142857,18,0.0
19916389,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.09259259259259259,5,0.0
19505553,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,1,0.0
19110254,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.19230769230769232,5,0.0
18997851,1.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0759493670886076,6,0.0
18970842,1.0,1.0,3.0,0.0,1.0,1.0,0.0,0.11688311688311688,9,0.0
18564723,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.23809523809523808,15,0.0
18248593,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06349206349206349,4,0.0
17469080,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.19318181818181818,17,0.0
17307195,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.14285714285714285,6,0.0
17126345,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.2909090909090909,16,0.0
16480156,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.08163265306122448,4,0.0
16274702,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.1323529411764706,9,0.0
16104824,1.0,0.0,11.0,0.0,0.0,1.0,0.0,0.10416666666666667,10,0.0
15975566,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.10256410256410256,8,0.0
15161220,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.13333333333333333,8,0.0
12744290,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.13559322033898305,8,0.0
11876258,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.34444444444444444,31,0.0
11355006,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,18,0.0
10606575,0.0,1.0,1.0,0.0,5.0,1.0,0.0,0.35714285714285715,20,0.0
9703700,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.1566265060240964,13,0.0
31084049,1.0,1.0,9.0,2.0,0.0,0.0,0.0,0.11764705882352941,4,0.0
6314793,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0847457627118644,5,0.0
