PMID,chromatography,class,food_term_count,gen_term_count,sci_term_count,spectrometry,spectrophotometry,chem_ent_ratio,chem_term_count,bigram_score
10917927,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.12962962962962962,7,0.0
26759032,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.16666666666666666,10,0.0
11513631,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.19607843137254902,10,0.0
22394229,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.125,9,0.0
23017398,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.20408163265306123,10,0.0
15891868,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.15492957746478872,11,0.0
23828209,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.1111111111111111,6,0.0
16001548,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.13846153846153847,9,0.0
11087482,0.0,1.0,17.0,3.0,0.0,0.0,0.0,0.1978021978021978,18,0.0
25174984,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.21875,14,0.0
11312867,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.14285714285714285,6,0.0
19754154,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.06451612903225806,4,0.0
24913883,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.046153846153846156,3,0.0
27040819,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.203125,13,0.0
16608201,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.2765957446808511,13,0.0
24779628,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.16129032258064516,20,0.0
16506802,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.08108108108108109,3,0.0
12714070,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.13953488372093023,6,0.0
16819634,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.125,7,0.0
19569109,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.1,6,0.0
25803838,1.0,0.0,10.0,0.0,0.0,1.0,0.0,0.10204081632653061,5,0.0
10805455,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.10344827586206896,6,0.0
12903971,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.21666666666666667,13,0.0
21196008,1.0,0.0,9.0,0.0,0.0,1.0,0.0,0.23076923076923078,15,0.0
24070492,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.08064516129032258,5,0.0
23564311,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.3194444444444444,23,0.0
29331224,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.10714285714285714,9,0.0
18804601,0.0,0.0,8.0,1.0,0.0,1.0,0.0,0.19444444444444445,14,0.0
22186492,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.23684210526315788,18,0.0
24636559,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.24691358024691357,20,0.0
19426987,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.11428571428571428,4,0.0
23692768,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.19230769230769232,15,0.0
22953909,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.189873417721519,15,0.0
18781757,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.1864406779661017,11,0.0
