PMID,chromatography,class,food_term_count,gen_term_count,sci_term_count,spectrometry,spectrophotometry,chem_ent_ratio,chem_term_count,bigram_score
29693456,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.2222222222222222,16,0.0
29653182,1.0,0.0,3.0,2.0,3.0,0.0,0.0,0.19318181818181818,17,0.0
29542139,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.09090909090909091,2,0.0
29498844,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.21153846153846154,11,0.0
29433241,1.0,1.0,7.0,0.0,0.0,1.0,0.0,0.06557377049180328,4,0.0
29215100,1.0,0.0,8.0,2.0,0.0,1.0,0.0,0.10204081632653061,5,0.0
29181754,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.15384615384615385,8,0.0
29108412,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.04,1,0.0
28965409,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.22857142857142856,16,0.0
28932845,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.10588235294117647,9,0.0
28911676,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.08333333333333333,3,0.0
28825644,1.0,0.0,12.0,1.0,0.0,1.0,0.0,0.13580246913580246,11,0.0
28719747,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.2,11,0.0
28705396,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.015151515151515152,1,0.0
28683396,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0625,1,0.0
28677661,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,1,0.0
28629219,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.16071428571428573,9,0.0
28612465,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.125,2,0.0
28481316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
28459863,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,9,0.0
28407889,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,1,0.0
28373144,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.03125,3,0.0
28249719,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5294117647058824,9,0.0
28231115,0.0,1.0,4.0,2.0,0.0,1.0,0.0,0.03225806451612903,1,0.0
28183044,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.17582417582417584,16,0.0
28177695,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.20512820512820512,16,0.0
28101575,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.1625,13,0.0
27979186,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.125,6,0.0
27979174,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,1,0.0
27916960,1.0,0.0,11.0,1.0,0.0,1.0,0.0,0.039473684210526314,3,0.0
27916569,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.10526315789473684,6,0.0
27846232,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.1111111111111111,1,0.0
27722608,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.36585365853658536,15,0.0
27765204,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.1935483870967742,12,0.0
27725449,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.25301204819277107,21,0.0
27664612,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.10638297872340426,5,0.0
27649517,0.0,0.0,22.0,1.0,0.0,1.0,0.0,0.21348314606741572,19,0.0
27592824,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
27542503,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.23529411764705882,12,0.0
27527697,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.19047619047619047,4,0.0
27313155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
27300762,0.0,1.0,15.0,1.0,0.0,0.0,0.0,0.12162162162162163,9,0.0
27283666,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.1111111111111111,5,0.0
27275838,1.0,0.0,7.0,1.0,0.0,1.0,0.0,0.07547169811320754,4,0.0
27008862,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.20967741935483872,13,0.0
27002613,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.07692307692307693,4,0.0
26948845,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.015384615384615385,1,0.0
26921177,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.15789473684210525,3,0.0
26776023,1.0,0.0,5.0,3.0,0.0,1.0,0.0,0.14285714285714285,6,0.0
26764333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
