PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year,is_useful,source,measmethod
11425797.0,"Specific human milk oligosaccharides, especially fucosylated neutral oligosaccharides, protect infants against specific microbial pathogens. To study the concentrations of individual neutral oligosaccharides during lactation, a total of 84 milk samples were obtained from 12 women at 7 time periods during weeks 1-49 postpartum. The neutral oligosaccharides from each sample were isolated, perbenzoylated, resolved, and quantified by reversed-phase high-performance liquid chromatography. The resultant oligosaccharide peaks, identified by co-elution with authentic standards and mass spectrometry, ranged in size from tri- to octasaccharides. The total concentration of oligosaccharides declined over the course of lactation; the mean concentration at 1 year was less than half that in the first few weeks postpartum. One of the 12 donors produced milk fucosyloligosaccharides that were essentially devoid of alpha1,2 linkages (but contained alpha1,3- and alpha1,4-linked fucose) until late in lactation, consistent with the nonsecretor phenotype. In milk samples from the remaining 11 donors, fucosyloligosaccharides containing alpha1,2-linked fucose were prevalent, and their profiles were distinct from those of fucosyloligosaccharides devoid of alpha1,2-linked fucose. The ratio of alpha1,2-linked oligosaccharide concentrations to oligosaccharides devoid of alpha1,2-linked fucose changed during the first year of lactation from 5:1 to 1:1. Furthermore, the absolute and the relative concentrations of individual oligosaccharides varied substantially, both between individual donors and over the course of lactation for each individual. The patterns of milk oligosaccharides among individuals suggest the existence of many genotype subpopulations. This variation in individual oligosaccharide concentrations suggests that the protective activities of human milk could also vary among individuals and during lactation.",Glycobiology,"['D002236', 'D002240', 'D002851', 'D005260', 'D005643', 'D014644', 'D006801', 'D007223', 'D007231', 'D007774', 'D008895', 'D008969', 'D009844', 'D011247', 'D013997']","['Carbohydrate Conformation', 'Carbohydrate Sequence', 'Chromatography, High Pressure Liquid', 'Female', 'Fucose', 'Genetic Variation', 'Humans', 'Infant', 'Infant, Newborn', 'Lactation', 'Milk, Human', 'Molecular Sequence Data', 'Oligosaccharides', 'Pregnancy', 'Time Factors']",Fucosylated human milk oligosaccharides vary between individuals and over the course of lactation.,"[None, None, None, None, 'Q000032', None, None, None, None, 'Q000235', 'Q000737', None, 'Q000737', None, None]","[None, None, None, None, 'analysis', None, None, None, None, 'genetics', 'chemistry', None, 'chemistry', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/11425797,2001,1.0,Chaturvedi_01,['HPLC']
17073150.0,"The dependence of daily vitamin excretion with breast milk on dietary vitamin content and blood vitamin level was studied in nursing women. Breast mils vitamins were assayed in women supplied with vitamins. We identified the criteria for adequate vitamin supply in nursing women over the 1st month after labor (vitamins A, 130 microg; vitamin B1, 100 microg; vitamin B2, 130 microg; vitamin E, 750 microg; vitamin B6, 60 microg).",Bulletin of experimental biology and medicine,"['D000328', 'D001942', 'D002851', 'D005260', 'D006801', 'D008895', 'D013057', 'D014815']","['Adult', 'Breast Feeding', 'Chromatography, High Pressure Liquid', 'Female', 'Humans', 'Milk, Human', 'Spectrum Analysis', 'Vitamins']",Evaluation of the vitamin status in nursing women by vitamin content in breast milk.,"[None, None, None, None, None, 'Q000737', None, 'Q000032']","[None, None, None, None, None, 'chemistry', None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/17073150,2006,1.0,Kodentsova_06,['HPLC']
17941914.0,The sources and the impact of maternal bacteria on the initial inoculum of the intestinal microflora of newborn infants remain elusive.,Clinical and experimental allergy : journal of the British Society for Allergy and Clinical Immunology,"['D039941', 'D001644', 'D005243', 'D005260', 'D006801', 'D006967', 'D007223', 'D007231', 'D007422', 'D008895', 'D009035', 'D012307']","['Bifidobacteriales Infections', 'Bifidobacterium', 'Feces', 'Female', 'Humans', 'Hypersensitivity', 'Infant', 'Infant, Newborn', 'Intestines', 'Milk, Human', 'Mothers', 'Risk Factors']",Maternal breast-milk and intestinal bifidobacteria guide the compositional development of the Bifidobacterium microbiota in infants at risk of allergic disease.,"['Q000382', 'Q000502', 'Q000382', None, None, 'Q000276', None, None, 'Q000382', 'Q000382', None, None]","['microbiology', 'physiology', 'microbiology', None, None, 'immunology', None, None, 'microbiology', 'microbiology', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/17941914,2008,0.0,Gronlund__07,[]
25221936.0,"The benefits of human milk for preterm infants are mainly the result of its nutritional characteristics and the presence of biologically active compounds. Among these compounds, glycosaminoglycans (GAGs) play an emerging leading role. When mother's milk is unavailable or in short supply, pasteurised donor milk represents an important nutritional alternative. The aim of this study was to evaluate the effect of Holder pasteurisation on the concentration of different GAGs in preterm human milk.",Journal of pediatric gastroenterology and nutrition,"['D000328', 'D053000', 'D000837', 'D002240', 'D002851', 'D005260', 'D006025', 'D006358', 'D006801', 'D007558', 'D007774', 'D008895', 'D061352', 'D049590', 'D047928', 'D013050']","['Adult', 'Analytic Sample Preparation Methods', 'Anion Exchange Resins', 'Carbohydrate Sequence', 'Chromatography, High Pressure Liquid', 'Female', 'Glycosaminoglycans', 'Hot Temperature', 'Humans', 'Italy', 'Lactation', 'Milk, Human', 'Pasteurization', 'Postpartum Period', 'Premature Birth', 'Spectrometry, Fluorescence']",Effect of holder pasteurisation on human milk glycosaminoglycans.,"[None, None, None, None, None, None, 'Q000032', 'Q000009', None, None, None, 'Q000737', None, None, None, None]","[None, None, None, None, None, None, 'analysis', 'adverse effects', None, None, None, 'chemistry', None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/25221936,2015,1.0,Coscia_15,"['HPLC', 'Fluorometry']"
12741556.0,"Sialyloligosaccharides and sialylglycoconjugates in colostrum and milk are regarded to be important biological components with respect to be source of brain gangliosides in infant and to be antiinfectional components for the attack by the pathogenic bacteria and virus. Several acidic oligosaccharides have been characterised in both bovine and human milk or colostrum. The sialyloligosaccharide content of human colostrum and milk has been extensively studied, whereas that of cows milk and colostrum has received less attention. In this study, the concentrations of three sialyloligosaccharides of bovine colostrum and milk were determined at various stages during the prepartum and the first 7 d postpartum. The concentration of 3'SL (Neu5Ac(alpha2-3)Gal(beta1-4)Glc) reached a maximum value of 0.85 mg/ml immediately following parturition while the concentrations of 6'SL (Neu5Ac(alpha2-6)Gal(beta1-4)Glc) and 6'SLN (Neu5Ac(alpha2-6)Gal(beta1-4)GlcNAc) of 0.14 and 0.12 mg/ml, respectively, were much lower at this initial stage, although these concentration were maximum immediately following parturition. Bovine colostrum, especially that collected immediately after parturition, may be suitable as a source of 3'SL and other sialyloligosaccharides for use as additives by the food or pharmaceutical industries.",Journal of dairy science,"['D000818', 'D002417', 'D003126', 'D005260', 'D006601', 'D007774', 'D008892', 'D019158', 'D009844', 'D036801', 'D049590', 'D011247', 'D013997']","['Animals', 'Cattle', 'Colostrum', 'Female', 'Hexoses', 'Lactation', 'Milk', 'N-Acetylneuraminic Acid', 'Oligosaccharides', 'Parturition', 'Postpartum Period', 'Pregnancy', 'Time Factors']",Concentrations of sialyloligosaccharides in bovine colostrum and milk during the prepartum and early lactation.,"[None, 'Q000378', 'Q000737', None, 'Q000032', None, 'Q000737', 'Q000032', 'Q000032', None, None, None, None]","[None, 'metabolism', 'chemistry', None, 'analysis', None, 'chemistry', 'analysis', 'analysis', None, None, None, None]",https://www.ncbi.nlm.nih.gov/pubmed/12741556,2003,0.0,Nakamura_03,[]
11242449.0,"Oligosaccharides and glycoconjugates are some of the most important bioactive components in milk. A great deal of information is available on the biological function of the components from human milk. Their primary role seems to be in providing protection against pathogens by acting as competitive inhibitors for the binding sites on the epithelial surfaces of the intestine. Evidence is also available to support the role of some of these components as growth promoters for genera of beneficial microflora in the colon. Compared with human milk, levels of oligosaccharides in bovine milk are very low. Nevertheless, a number of neutral and acidic oligosaccharides have been isolated from bovine milk and characterised. The highest concentration of these molecules is found in early postparturition milk (colostrum). The chemical structure of the oligosaccharides and many of the glycoconjugates from bovine milk are similar to those in human milk. It is likely that bovine oligosaccharides and glycoconjugates can be used in milk products as bioactive components in human nutrition.",The British journal of nutrition,"['D000818', 'D001644', 'D001685', 'D002417', 'D002771', 'D003126', 'D019587', 'D004927', 'D005260', 'D006001', 'D016481', 'D006801', 'D007223', 'D007225', 'D007231', 'D007422', 'D018977', 'D008892', 'D009844', 'D011247', 'D019936', 'D013045']","['Animals', 'Bifidobacterium', 'Biological Factors', 'Cattle', 'Cholera', 'Colostrum', 'Dietary Supplements', 'Escherichia coli Infections', 'Female', 'Glycoconjugates', 'Helicobacter Infections', 'Humans', 'Infant', 'Infant Food', 'Infant, Newborn', 'Intestines', 'Micronutrients', 'Milk', 'Oligosaccharides', 'Pregnancy', 'Probiotics', 'Species Specificity']",Oligosaccharides and glycoconjugates in bovine milk and colostrum.,"[None, 'Q000254', 'Q000502', None, 'Q000517', 'Q000737', None, 'Q000517', None, 'Q000032', 'Q000517', None, None, None, None, 'Q000382', None, 'Q000737', 'Q000032', None, 'Q000008', None]","[None, 'growth & development', 'physiology', None, 'prevention & control', 'chemistry', None, 'prevention & control', None, 'analysis', 'prevention & control', None, None, None, None, 'microbiology', None, 'chemistry', 'analysis', None, 'administration & dosage', None]",https://www.ncbi.nlm.nih.gov/pubmed/11242449,2001,0.0,Gopal_00,[]
20721564.0,To determine tocopherol and fat content of Greek mother's milk during the first 6 months of exclusive breastfeeding and correlate with maternal diet characteristics.,European journal of nutrition,"['D000328', 'D000886', 'D001942', 'D015930', 'D038441', 'D005223', 'D005260', 'D006115', 'D007722', 'D006801', 'D016014', 'D008895', 'D049590', 'D011446', 'D024502']","['Adult', 'Anthropometry', 'Breast Feeding', 'Diet Records', 'Diet, Mediterranean', 'Fats', 'Female', 'Greece', 'Health Knowledge, Attitudes, Practice', 'Humans', 'Linear Models', 'Milk, Human', 'Postpartum Period', 'Prospective Studies', 'alpha-Tocopherol']",Breast milk tocopherol content during the first six months in exclusively breastfeeding Greek women.,"[None, None, None, None, None, 'Q000032', None, None, None, None, None, 'Q000737', None, None, 'Q000032']","[None, None, None, None, None, 'analysis', None, None, None, None, None, 'chemistry', None, None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/20721564,2011,1.0,Antonakou_10,"['HPLC', 'CREAM']"
25855820.0,The authors discovered some errors regarding reference group labels in Table 2. The corrected table is attached. The authors regret these errors.,Cancer,[],[],"Erratum: Borderud SP, Li Y, Burkhalter JE, Sheffer CE and Ostroff JS.  Electronic cigarette use among patients with cancer: Characteristics of electronic  cigarette users and their smoking cessation outcomes. Cancer. doi: 10.1002/  cncr.28811.",[],[],https://www.ncbi.nlm.nih.gov/pubmed/25855820,2015,0.0,Jahreis_96,[]
7315290.0,"In a study of human milk collected for banking, heating at 62.5 degrees C for 30 min, and freezing and thawing resulted in hydrolysis of triglycerides. Freezing and thawing caused disruption of fat globules and a greater hydrolysis of triglycerides than did the heating process. There was a decrease in the percentage of the poly-unsaturated fatty acids linoleic acid (C18:2) and linolenic acid (C18:3) after freezing and thawing, and after heating, but the other fatty acids of human milk triglycerides were not affected. It is suggested that the availability of linoleic and linolenic acid in milk declines when these procedures are used in human milk banking.",Acta paediatrica Scandinavica,"['D005227', 'D005260', 'D005615', 'D006358', 'D006801', 'D008895', 'D009391', 'D011247', 'D014280']","['Fatty Acids', 'Female', 'Freezing', 'Hot Temperature', 'Humans', 'Milk, Human', 'Nephelometry and Turbidimetry', 'Pregnancy', 'Triglycerides']",Effect of pasteurization and of freezing and thawing human milk on its triglyceride content.,"['Q000032', None, None, None, None, 'Q000032', None, None, 'Q000032']","['analysis', None, None, None, None, 'analysis', None, None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/7315290,1982,1.0,Wardell_81,['GLC']
26397954.0,"The physiological challenges of high altitude have led to population-specific patterns of adaptation. These include alterations to child growth and reproduction, including lactation. However, while breastfeeding has been investigated, nothing is known about milk composition in high altitude adapted populations.",American journal of physical anthropology,"['D000222', 'D000328', 'D000531', 'D002241', 'D005223', 'D005260', 'D006801', 'D007223', 'D007231', 'D008895', 'D009390', 'D011506', 'D018609', 'D055815']","['Adaptation, Physiological', 'Adult', 'Altitude', 'Carbohydrates', 'Fats', 'Female', 'Humans', 'Infant', 'Infant, Newborn', 'Milk, Human', 'Nepal', 'Proteins', 'Tibet', 'Young Adult']",Milk at altitude: Human milk macronutrient composition in a high-altitude adapted population of Tibetans.,"['Q000502', None, None, 'Q000032', 'Q000032', None, None, None, None, 'Q000737', None, 'Q000032', None, None]","['physiology', None, None, 'analysis', 'analysis', None, None, None, None, 'chemistry', None, 'analysis', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/26397954,2016,1.0,Quinn_16,"['RGP', 'Dubois', 'CHNS']"
